country,group,fluregion,whoregion,sdate,year,B,AH1,AH3,tot_cases,iso_code,label,B%,AH1%,AH3%,state,p,q
Albania,1,South West Europe,European Region of WHO,2010-04-26,2010,25,101,17,143,ALB,ALB10,0.174825174825175,0.706293706293706,0.118881118881119,AH1,-0.4125684600796986,1.2599986453212524
Albania,1,South West Europe,European Region of WHO,2011-04-25,2011,24,0,98,122,ALB,ALB11,0.196688012295082,0.0001692708333333,0.803142716871585,AH3,2.3069949284149485,-5.985508791364086
Albania,1,South West Europe,European Region of WHO,2012-04-23,2012,76,13,8,97,ALB,ALB12,0.783505154639175,0.134020618556701,0.0824742268041237,B,1.6399643204331107,0.3433058688583097
Albania,1,South West Europe,European Region of WHO,2013-04-29,2013,0,82,74,156,ALB,ALB13,0.0001645569620253,0.52555452775073,0.474280915287244,AH1,-6.546363698881661,0.0725874484528536
Albania,1,South West Europe,European Region of WHO,2014-04-28,2014,20,30,18,68,ALB,ALB14,0.294117647058824,0.441176470588235,0.264705882352941,X,-0.122517186828203,0.36120826256878
Albania,1,South West Europe,European Region of WHO,2015-04-27,2015,101,109,4,214,ALB,ALB15,0.47196261682243,0.509345794392523,0.0186915887850467,AH1,1.2870430666720885,2.3370257569608297
Albania,1,South West Europe,European Region of WHO,2016-04-25,2016,1,0,233,234,ALB,ALB16,0.0042727808938746,0.0001692708333333,0.995557948272792,AH3,-0.9073392934011514,-6.137374754175452
Albania,1,South West Europe,European Region of WHO,2017-04-24,2017,197,152,3,352,ALB,ALB17,0.559659090909091,0.431818181818182,0.0085227272727272,B,1.814220557997643,2.77558378494932
Albania,1,South West Europe,European Region of WHO,2018-04-23,2018,1,437,89,527,ALB,ALB18,0.0018975332068311,0.829222011385199,0.16888045540797,AH1,-4.314600457489343,1.1252167760951193
Albania,1,South West Europe,European Region of WHO,2019-04-29,2019,199,79,167,445,ALB,ALB19,0.447191011235955,0.17752808988764,0.375280898876404,X,0.4487334506313574,-0.5293019243102514
Argentina,2,Temperate South America,Region of the Americas of WHO,2010-04-26,2010,881,104,1110,2095,ARG,ARG10,0.420525059665871,0.0496420047732697,0.529832935560859,AH3,0.7779616403942972,-1.6742339758019928
Argentina,2,Temperate South America,Region of the Americas of WHO,2011-04-25,2011,48,446,1623,2117,ARG,ARG11,0.0226735947094946,0.21067548417572,0.766650921114785,AH3,-2.3474066444489856,-0.9133787497603928
Argentina,2,Temperate South America,Region of the Americas of WHO,2012-04-23,2012,1160,1159,841,3160,ARG,ARG12,0.367088607594937,0.366772151898734,0.266139240506329,X,0.1316380547573762,0.226784123628841
Argentina,2,Temperate South America,Region of the Americas of WHO,2013-04-29,2013,507,4436,1778,6721,ARG,ARG13,0.0754352030947776,0.660020830233596,0.264543966671626,AH1,-1.397732228701477,0.6464822263917797
Argentina,2,Temperate South America,Region of the Americas of WHO,2014-04-28,2014,550,23,1779,2352,ARG,ARG14,0.233843537414966,0.0097789115646258,0.756377551020408,AH3,0.8167152602913085,-3.074721235483052
