country,iso_code,year,group,group_201016,group_201017,group_201018,B,H1,H3,tot_cases,ITZ,fluseason,label,B%,H1%,H3%,state,p,q
Albania,ALB,2010,0,0,0,0,25,101,17,143,FLU_SW_EUR,NH,ALB10,0.174825174825175,0.706293706293706,0.118881118881119,H1,-0.412568460079699,1.25999864532125
Albania,ALB,2011,0,0,0,0,24,0,98,122,FLU_SW_EUR,NH,ALB11,0.196701383732639,0.0001012993590867,0.803197316908275,H3,2.51662548274679,-6.34859956228566
Albania,ALB,2012,0,0,0,0,76,13,8,97,FLU_SW_EUR,NH,ALB12,0.783505154639175,0.134020618556701,0.0824742268041237,B,1.63996432043311,0.34330586885831
Albania,ALB,2013,0,0,0,0,0,82,74,156,FLU_SW_EUR,NH,ALB13,0.0002310700319943,0.525519565752413,0.474249364215592,H1,-6.26913814475515,0.0725874484528538
Albania,ALB,2014,0,0,0,0,20,30,18,68,FLU_SW_EUR,NH,ALB14,0.294117647058824,0.441176470588235,0.264705882352941,X,-0.122517186828203,0.36120826256878
Albania,ALB,2015,0,0,0,0,101,109,4,214,FLU_SW_EUR,NH,ALB15,0.47196261682243,0.509345794392523,0.0186915887850467,H1,1.28704306667209,2.33702575696083
Albania,ALB,2016,0,0,0,0,1,0,233,234,FLU_SW_EUR,NH,ALB16,0.0042730713702603,0.0001012993590867,0.995625629270653,H3,-0.697708739069309,-6.50046552509702
Albania,ALB,2017,0,0,0,0,197,152,3,352,FLU_SW_EUR,NH,ALB17,0.559659090909091,0.431818181818182,0.0085227272727272,B,1.81422055799764,2.77558378494932
Albania,ALB,2018,0,0,0,0,1,437,89,527,FLU_SW_EUR,NH,ALB18,0.0018975332068311,0.829222011385199,0.16888045540797,H1,-4.31460045748934,1.12521677609512
Albania,ALB,2019,0,0,0,0,199,79,167,445,FLU_SW_EUR,NH,ALB19,0.447191011235955,0.17752808988764,0.375280898876404,X,0.448733450631357,-0.529301924310251
